DATE,RAINFALL (mm),Max Temp (°C),Min Temp (°C),Mean Temp (°C),Soil Temp @ 50cm (°C) ,Sunshine Hours,Evaporation (mm)
1-Jan-2014,,34.00,23.00,28.5,30.50,7.20,4.00
2-Jan-2014,,35.00,24.00,29.5,30.00,6.60,4.00
3-Jan-2014,,32.00,23.00,27.5,30.50,7.20,6.00
4-Jan-2014,,33.00,21.00,27.0,30.50,6.10,4.00
5-Jan-2014,,31.50,22.00,26.8,30.50,7.30,4.00
6-Jan-2014,,34.00,21.00,27.5,30.50,5.10,4.00
7-Jan-2014,,33.00,23.00,28.0,30.50,6.20,3.00
8-Jan-2014,,32.00,24.00,28.0,30.30,7.30,3.00
9-Jan-2014,,33.00,24.00,28.5,31.00,5.10,4.00
10-Jan-2014,,36.00,23.50,29.8,30.50,6.20,5.00
11-Jan-2014,,35.00,23.00,29.0,30.50,5.80,5.00
12-Jan-2014,,35.50,23.50,29.5,31.00,5.30,4.00
13-Jan-2014,,35.50,26.00,30.8,31.00,5.20,5.00
14-Jan-2014,,35.50,24.00,29.8,31.00,6.00,3.00
15-Jan-2014,,36.00,24.00,30.0,31.00,6.30,4.00
16-Jan-2014,,35.50,24.00,29.8,31.00,5.60,5.00
17-Jan-2014,,35.00,24.00,29.5,31.00,4.80,2.00
18-Jan-2014,,34.00,22.00,28.0,30.00,5.30,5.00
19-Jan-2014,,33.00,21.00,27.0,31.00,6.50,5.00
20-Jan-2014,,29.50,22.00,25.8,31.00,7.30,5.00
21-Jan-2014,,34.00,25.00,29.5,31.00,3.80,3.00
22-Jan-2014,,35.00,25.00,30.0,31.00,4.50,3.00
23-Jan-2014,,36.00,25.00,30.5,31.00,5.10,3.00
24-Jan-2014,,35.00,24.00,29.5,31.50,5.00,4.00
25-Jan-2014,,35.00,23.00,29.0,31.00,5.30,5.00
26-Jan-2014,,35.50,24.00,29.8,31.50,6.50,5.00
27-Jan-2014,,35.50,25.00,30.3,31.50,6.80,5.00
28-Jan-2014,,36.50,24.00,30.3,31.50,7.00,6.00
29-Jan-2014,8.20,35.00,25.50,30.3,31.50,6.30,5.00
30-Jan-2014,,35.50,24.00,29.8,31.00,6.80,4.00
31-Jan-2014,,29.00,25.00,27.0,30.50,7.10,3.00
1-Feb-2014,,31.00,23.00,27.0,30.00,2.10,3.00
2-Feb-2014,,29.00,23.00,26.0,30.00,3.20,2.00
3-Feb-2014,,31.50,19.00,25.3,29.50,4.30,2.00
4-Feb-2014,,35.00,26.00,30.5,29.50,6.00,4.00
5-Feb-2014,,37.00,23.00,30.0,30.00,6.30,5.00
6-Feb-2014,,38.50,25.00,31.8,30.50,5.20,5.00
7-Feb-2014,,36.00,25.00,30.5,31.00,5.30,4.00
8-Feb-2014,,36.00,25.00,30.5,31.00,5.60,4.00
9-Feb-2014,,36.00,24.00,30.0,31.00,6.20,4.00
10-Feb-2014,,36.00,24.00,30.0,31.00,6.20,4.00
11-Feb-2014,,36.00,25.00,30.5,31.50,6.40,4.00
12-Feb-2014,,34.50,23.50,29.0,31.00,6.20,3.00
13-Feb-2014,,36.00,23.50,29.8,31.00,6.10,5.00
14-Feb-2014,,36.00,23.00,29.5,31.00,7.10,4.00
15-Feb-2014,,36.00,23.00,29.5,31.00,6.20,6.00
16-Feb-2014,,36.00,23.00,29.5,31.00,5.90,5.00
17-Feb-2014,,36.00,22.00,29.0,31.50,6.10,6.00
18-Feb-2014,,35.00,23.00,29.0,31.00,6.40,4.00
19-Feb-2014,,36.00,24.00,30.0,31.50,6.70,5.00
20-Feb-2014,,36.00,24.00,30.0,31.50,5.80,5.00
21-Feb-2014,7.30,36.00,24.00,30.0,31.00,6.30,5.00
22-Feb-2014,,35.00,24.00,29.5,32.00,6.70,4.00
23-Feb-2014,3.70,34.00,23.00,28.5,31.00,5.80,5.00
24-Feb-2014,,36.00,22.00,29.0,32.00,6.60,8.00
25-Feb-2014,,35.00,22.00,28.5,32.00,5.70,7.00
26-Feb-2014,4.50,33.50,22.00,27.8,31.00,4.80,6.00
27-Feb-2014,,36.50,23.50,30.0,30.50,6.30,7.00
28-Feb-2014,,35.00,23.00,29.0,30.50,5.90,6.00
1-Mar-2014,,36.50,23.00,29.8,30.50,5.80,4.00
2-Mar-2014,,37.00,23.00,30.0,30.50,6.30,4.00
3-Mar-2014,,37.00,25.00,31.0,31.00,6.10,4.00
4-Mar-2014,,36.00,25.00,30.5,31.50,5.90,3.00
5-Mar-2014,,36.00,25.00,30.5,31.50,3.40,2.00
6-Mar-2014,23.80,31.50,22.00,26.8,31.00,2.60,4.00
7-Mar-2014,,32.00,23.00,27.5,30.50,6.30,4.00
8-Mar-2014,,31.50,23.00,27.3,31.00,7.10,5.00
9-Mar-2014,,36.00,25.00,30.5,31.50,3.10,4.00
10-Mar-2014,,29.50,24.00,26.8,31.00,3.60,3.00
11-Mar-2014,,32.00,25.00,28.5,31.00,4.10,2.00
12-Mar-2014,8.50,35.00,24.00,29.5,31.00,5.30,2.00
13-Mar-2014,,36.00,24.00,30.0,30.50,6.00,3.00
14-Mar-2014,20.50,36.00,25.50,30.8,31.00,7.30,2.00
15-Mar-2014,,36.00,25.00,30.5,31.00,6.50,1.00
16-Mar-2014,25.00,35.00,25.00,30.0,30.50,6.80,1.00
17-Mar-2014,25.00,33.00,22.00,27.5,29.00,4.30,1.00
18-Mar-2014,15.50,34.00,25.50,29.8,30.00,5.40,1.00
19-Mar-2014,,34.00,22.00,28.0,30.00,7.30,2.00
20-Mar-2014,2.80,34.00,23.00,28.5,30.00,7.10,3.00
21-Mar-2014,,34.00,25.00,29.5,30.00,6.50,5.00
22-Mar-2014,,35.00,24.00,29.5,30.50,6.80,3.00
23-Mar-2014,,37.00,23.00,30.0,30.50,7.30,4.00
24-Mar-2014,9.40,30.50,22.00,26.3,29.50,7.50,3.00
25-Mar-2014,,32.00,24.50,28.3,29.50,7.30,3.00
26-Mar-2014,,33.00,23.00,28.0,30.00,5.60,5.00
27-Mar-2014,2.80,33.00,22.00,27.5,30.50,7.30,3.00
28-Mar-2014,,33.00,22.00,27.5,30.00,7.30,5.00
29-Mar-2014,,33.00,22.00,27.5,30.00,5.60,4.00
30-Mar-2014,,33.00,23.00,28.0,30.00,7.80,4.00
31-Mar-2014,15.80,32.00,21.50,26.8,29.00,6.30,3.00
1-Apr-2014,,33.00,23.00,28.0,29.50,7.80,4.00
2-Apr-2014,,34.00,25.00,29.5,30.00,7.20,4.00
3-Apr-2014,,32.00,25.50,28.8,30.50,2.30,3.00
4-Apr-2014,,34.50,23.00,28.8,30.50,5.80,3.00
5-Apr-2014,,34.50,25.50,30.0,30.50,7.30,4.00
6-Apr-2014,,34.50,25.00,29.8,30.50,8.20,4.00
7-Apr-2014,,35.00,24.50,29.8,30.50,6.20,5.00
8-Apr-2014,,32.00,24.50,28.3,31.00,3.70,4.00
9-Apr-2014,,35.00,25.00,30.0,31.00,5.30,3.00
10-Apr-2014,21.30,34.00,21.50,27.8,30.50,6.60,1.00
11-Apr-2014,29.00,31.00,22.00,26.5,30.00,6.30,3.00
12-Apr-2014,,30.00,23.00,26.5,30.00,7.30,2.00
13-Apr-2014,24.40,33.00,22.00,27.5,29.00,7.40,4.00
14-Apr-2014,,33.00,21.00,27.0,29.00,8.20,2.00
15-Apr-2014,,35.00,23.00,29.0,30.00,5.30,5.00
16-Apr-2014,,32.00,24.00,28.0,30.00,6.20,4.00
17-Apr-2014,,32.00,25.00,28.5,30.00,7.40,5.00
18-Apr-2014,12.50,33.00,23.00,28.0,30.00,1.00,2.00
19-Apr-2014,,31.00,24.00,27.5,30.00,3.60,3.00
20-Apr-2014,,32.00,25.00,28.5,29.50,7.30,4.00
21-Apr-2014,,33.00,22.00,27.5,30.00,8.20,4.00
22-Apr-2014,,31.00,22.00,26.5,30.00,1.60,4.00
23-Apr-2014,,33.00,24.00,28.5,29.50,1.30,5.00
24-Apr-2014,,32.00,21.00,26.5,29.50,1.50,3.00
25-Apr-2014,,32.00,24.00,28.0,30.00,6.20,6.00
26-Apr-2014,,33.00,24.00,28.5,30.00,7.30,5.00
27-Apr-2014,,33.00,23.00,28.0,30.00,7.80,3.00
28-Apr-2014,,33.50,22.00,27.8,30.00,5.70,3.00
29-Apr-2014,,32.00,23.50,27.8,30.50,6.20,4.00
30-Apr-2014,,33.50,25.00,29.3,30.00,3.20,4.00
1-May-2014,25.30,28.50,22.50,25.5,30.50,7.50,4.00
2-May-2014,,33.00,23.00,28.0,30.00,6.20,4.00
3-May-2014,,33.00,23.00,28.0,30.00,7.30,4.00
4-May-2014,1.80,33.00,23.50,28.3,30.00,8.30,3.00
5-May-2014,,35.00,24.00,29.5,30.00,4.70,3.00
